Batch,Command,Start Time,Second,Command Setting,S Partition,E Partition,S Column,E Column,S Row,E Row,Error Message
300,Filter,20:55:48,0.145,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338326,444390,""
300,Groupby,20:55:48,0.061,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,444390,9331,""
320,Read_CSV,20:55:48,0.051,"100-millionrows.csv",20,20,10,10,0,0,""
320,Filter,20:55:48,0.144,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338328,358118,""
320,Groupby,20:55:48,0.061,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,358118,9331,""
340,Read_CSV,20:55:48,0.056,"100-millionrows.csv",20,20,10,10,0,0,""
340,Filter,20:55:48,0.15,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338348,343932,""
340,Groupby,20:55:48,0.056,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,343932,9331,""
360,Read_CSV,20:55:48,0.048,"100-millionrows.csv",20,20,10,10,0,0,""
360,Filter,20:55:48,0.139,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338323,449350,""
360,Groupby,20:55:48,0.057,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,449350,9331,""
380,Read_CSV,20:55:49,0.048,"100-millionrows.csv",20,20,10,10,0,0,""
380,Filter,20:55:49,0.133,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338327,353158,""
380,Groupby,20:55:49,0.056,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,353158,9331,""
400,Read_CSV,20:55:49,0.041,"100-millionrows.csv",20,20,10,10,0,0,""
400,Filter,20:55:49,0.154,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338349,343932,""
400,Groupby,20:55:49,0.051,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,343932,9331,""
420,Read_CSV,20:55:49,0.043,"100-millionrows.csv",20,20,10,10,0,0,""
420,Filter,20:55:49,0.146,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338316,454364,""
420,Groupby,20:55:49,0.071,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,454364,9331,""
440,Read_CSV,20:55:49,0.052,"100-millionrows.csv",20,20,10,10,0,0,""
440,Filter,20:55:49,0.143,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338332,348144,""
440,Groupby,20:55:49,0.063,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,348144,9331,""
460,Read_CSV,20:55:50,0.044,"100-millionrows.csv",20,20,10,10,0,0,""
460,Filter,20:55:50,0.131,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338344,346958,""
460,Groupby,20:55:50,0.061,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,346958,9331,""
480,Read_CSV,20:55:50,0.05,"100-millionrows.csv",20,20,10,10,0,0,""
480,Filter,20:55:50,0.139,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338318,455550,""
480,Groupby,20:55:50,0.055,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,455550,9331,""
500,Read_CSV,20:55:50,0.06,"100-millionrows.csv",20,20,10,10,0,0,""
500,Filter,20:55:50,0.148,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338334,343932,""
500,Groupby,20:55:50,0.053,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,343932,9331,""
520,Read_CSV,20:55:50,0.063,"100-millionrows.csv",20,20,10,10,0,0,""
520,Filter,20:55:50,0.142,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338347,351993,""
520,Groupby,20:55:50,0.063,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,351993,9331,""
540,Read_CSV,20:55:51,0.041,"100-millionrows.csv",20,20,10,10,0,0,""
540,Filter,20:55:51,0.135,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338310,450515,""
540,Groupby,20:55:51,0.071,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,450515,9331,""
560,Read_CSV,20:55:51,0.047,"100-millionrows.csv",20,20,10,10,0,0,""
560,Filter,20:55:51,0.132,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338332,343932,""
560,Groupby,20:55:51,0.058,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,343932,9331,""
580,Read_CSV,20:55:51,0.04,"100-millionrows.csv",20,20,10,10,0,0,""
580,Filter,20:55:51,0.143,"Shop(S20..S50)Product(500..800)",20,20,10,10,3188366,343932,""
580,Groupby,20:55:51,0.06,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,343932,9331,""
580,FinalGroupby,20:55:51,0.121,"Shop, Product => Sum(Count) Sum(Quantity) Sum(Base_Amount)",30,1,5,5,279930,9331,""
580,Write_CSV,20:55:51,0,"Outbox/groupby.csv",1,1,5,5,9331,9331,""
