Ledger,Date,Account,Bank,Version,Original Amount,Country,Exchange Rate,Base Amount
L01,42478,Purchases,HSBC,Actual,13963,MYR,1.97,-27507.11
L01,42682,Administrative Expenses,HSBC,Actual,18164,LKR,0.06,-1089.84
L01,42442,Finance Cost,CitiBank,Actual,33549,TWD,0.25,-8387.25
L01,42387,Payroll,CitiBank,Actual,27098,CNY,1.19,-32246.62
L01,42567,Rental Income,CitiBank,Actual,26935,PHP,0.17,22894.75
L01,42592,Purchases,HSBC,Actual,25233,PHP,0.17,-4289.61
L01,42695,Rental Income,BOC,Actual,1435,INR,0.12,861
L01,42383,Management Fee,CitiBank,Actual,26425,HKD,1,-26425
L01,42470,Administrative Expenses,BOC,Actual,34304,INR,0.12,-4116.48
L01,42494,Payroll,CitiBank,Actual,41313,PHP,0.17,-7023.21
L01,42705,Finance Cost,CitiBank,Actual,40613,SGD,5.74,-233118.62
L01,42404,Finance Cost,CitiBank,Actual,8391,LKR,0.06,-503.46
L01,42669,Finance Cost,CitiBank,Actual,4572,THB,0.23,-1051.56
L01,42672,Purchases,BOC,Actual,46296,CNY,1.19,-55092.24
L01,42656,Sales,BOC,Actual,45680,THB,0.23,84051.2
L01,42685,Management Fee,HSBC,Actual,24984,SGD,5.74,-143408.16
L01,42439,Management Fee,HSBC,Actual,8281,JPY,0.07,-579.67
L01,42652,Rental Income,HSBC,Actual,32102,SGD,5.74,921327.4
L01,42415,Payroll,CitiBank,Actual,18808,INR,0.12,-2256.96
L01,42718,Management Fee,CitiBank,Actual,5965,PHP,0.17,-1014.05
L01,42703,Rental Income,BOC,Actual,23224,HKD,1,116120
L01,42407,Sales,CitiBank,Actual,37008,LKR,0.06,17763.84
L01,42462,Purchases,CitiBank,Actual,36194,SGD,5.74,-207753.56
L01,42499,Management Fee,CitiBank,Actual,21575,PHP,0.17,-3667.75
L01,42415,Payroll,CitiBank,Actual,49068,INR,0.12,-5888.16
L01,42679,Management Fee,CitiBank,Actual,44017,INR,0.12,-5282.04
L01,42712,Administrative Expenses,BOC,Actual,10277,SGD,5.74,-58989.98
L01,42557,Payroll,HSBC,Actual,26803,INR,0.12,-3216.36
L01,42516,Sales,CitiBank,Actual,13355,PHP,0.17,18162.8
L01,42642,Administrative Expenses,BOC,Actual,3171,MYR,1.97,-6246.87
L01,42497,Administrative Expenses,HSBC,Actual,6445,JPY,0.07,-451.15
L01,42733,Sales,BOC,Actual,35119,CNY,1.19,334332.88
L01,42450,Payroll,CitiBank,Actual,3505,MYR,1.97,-6904.85
L01,42400,Sales,CitiBank,Actual,30146,LKR,0.06,14470.08
L01,42591,Administrative Expenses,BOC,Actual,6322,CNY,1.19,-7523.18
L01,42694,Rental Income,BOC,Actual,24799,LKR,0.06,7439.7
L01,42557,Rental Income,BOC,Actual,20936,LKR,0.06,6280.8
L01,42708,Finance Cost,HSBC,Actual,44333,INR,0.12,-5319.96
L01,42574,Rental Income,BOC,Actual,28379,INR,0.12,17027.4
L01,42575,Finance Cost,CitiBank,Actual,39409,SGD,5.74,-226207.66
L01,42488,Management Fee,BOC,Actual,19179,LKR,0.06,-1150.74
L01,42643,Management Fee,HSBC,Actual,6727,MYR,1.97,-13252.19
L01,42619,Rental Income,BOC,Actual,8375,THB,0.23,9631.25
L01,42639,Management Fee,BOC,Actual,11035,MYR,1.97,-21738.95
L01,42571,Rental Income,CitiBank,Actual,36042,THB,0.23,41448.3
L01,42523,Management Fee,HSBC,Actual,24563,INR,0.12,-2947.56
L01,42425,Finance Cost,BOC,Actual,28246,INR,0.12,-3389.52
L01,42665,Management Fee,HSBC,Actual,14182,TWD,0.25,-3545.5
L01,42647,Finance Cost,HSBC,Actual,23681,THB,0.23,-5446.63
L01,42455,Payroll,HSBC,Actual,25374,CNY,1.19,-30195.06
L01,42430,Management Fee,HSBC,Actual,12066,TWD,0.25,-3016.5
L01,42480,Sales,CitiBank,Actual,33199,JPY,0.07,18591.44
L01,42479,Finance Cost,HSBC,Actual,40917,LKR,0.06,-2455.02
L01,42518,Finance Cost,HSBC,Actual,36164,PHP,0.17,-6147.88
L01,42371,Management Fee,CitiBank,Actual,8455,MYR,1.97,-16656.35
L01,42481,Purchases,HSBC,Actual,30696,LKR,0.06,-1841.76
L01,42693,Purchases,CitiBank,Actual,33534,CNY,1.19,-39905.46
L01,42662,Purchases,CitiBank,Actual,3275,LKR,0.06,-196.5
L01,42532,Sales,HSBC,Actual,29109,TWD,0.25,58218
L01,42537,Purchases,BOC,Actual,37001,JPY,0.07,-2590.07
L01,42569,Administrative Expenses,HSBC,Actual,44426,JPY,0.07,-3109.82
L01,42693,Rental Income,HSBC,Actual,4390,JPY,0.07,1536.5
L01,42722,Purchases,HSBC,Actual,16241,HKD,1,-16241
L01,42622,Finance Cost,HSBC,Actual,40909,INR,0.12,-4909.08
L01,42484,Management Fee,HSBC,Actual,5453,SGD,5.74,-31300.22
L01,42562,Purchases,CitiBank,Actual,24008,CNY,1.19,-28569.52
L01,42574,Payroll,BOC,Actual,9055,CNY,1.19,-10775.45
L01,42685,Finance Cost,HSBC,Actual,28721,SGD,5.74,-164858.54
L01,42448,Purchases,BOC,Actual,20871,INR,0.12,-2504.52
L01,42489,Sales,CitiBank,Actual,9067,THB,0.23,16683.28
L01,42524,Management Fee,HSBC,Actual,35134,TWD,0.25,-8783.5
L01,42440,Purchases,CitiBank,Actual,41766,CNY,1.19,-49701.54
L01,42370,Purchases,CitiBank,Actual,13542,JPY,0.07,-947.94
L01,42590,Rental Income,HSBC,Actual,17700,INR,0.12,10620
L01,42394,Sales,HSBC,Actual,25298,CNY,1.19,240836.96
L01,42379,Finance Cost,HSBC,Actual,4108,MYR,1.97,-8092.76
L01,42732,Administrative Expenses,BOC,Actual,48535,PHP,0.17,-8250.95
L01,42719,Management Fee,HSBC,Actual,14021,THB,0.23,-3224.83
L01,42579,Management Fee,HSBC,Actual,11086,MYR,1.97,-21839.42
L01,42732,Purchases,BOC,Actual,4326,PHP,0.17,-735.42
L01,42370,Administrative Expenses,HSBC,Actual,24900,LKR,0.06,-1494
L01,42605,Administrative Expenses,HSBC,Actual,31284,JPY,0.07,-2189.88
L01,42579,Purchases,HSBC,Actual,38049,LKR,0.06,-2282.94
L01,42721,Administrative Expenses,CitiBank,Actual,7013,JPY,0.07,-490.91
L01,42618,Sales,HSBC,Actual,36331,THB,0.23,66849.04
L01,42732,Finance Cost,CitiBank,Actual,31302,MYR,1.97,-61664.94
L01,42686,Sales,CitiBank,Actual,40760,LKR,0.06,19564.8
L01,42710,Administrative Expenses,CitiBank,Actual,48857,HKD,1,-48857
L01,42572,Administrative Expenses,HSBC,Actual,27661,HKD,1,-27661
L01,42715,Management Fee,CitiBank,Actual,37227,SGD,5.74,-213682.98
L01,42687,Management Fee,HSBC,Actual,14002,HKD,1,-14002
L01,42710,Management Fee,CitiBank,Actual,22223,THB,0.23,-5111.29
L01,42705,Rental Income,HSBC,Actual,8640,MYR,1.97,85104
L01,42707,Rental Income,BOC,Actual,21838,LKR,0.06,6551.4
L01,42697,Management Fee,BOC,Actual,7939,INR,0.12,-952.68
L01,42450,Finance Cost,HSBC,Actual,49598,LKR,0.06,-2975.88
