Product,Style,Unit_Price
P135,F,228.93
P135,G,235.8
P135,H,242.87
P136,A,267.86
P136,B,275.9
P136,C,284.18
P136,D,292.71
P136,E,301.49
P136,F,310.53
P136,G,319.85
P136,H,329.45
P137,A,92.59
P137,B,95.37
P137,C,98.23
P137,D,101.18
P137,E,104.22
P137,F,107.35
P137,G,110.57
P137,H,113.89
P138,A,543.61
P138,B,559.92
P138,C,576.72
P138,D,594.02
P138,E,611.84
P138,F,630.2
P138,G,649.11
P138,H,668.58
P139,A,52.07
P139,B,53.63
P139,C,55.24
P139,D,56.9
P139,E,58.61
P139,F,60.37
P139,G,62.18
P139,H,64.05
P140,A,945.82
P140,B,974.19
P140,C,1003.42
P140,D,1033.52
P140,E,1064.53
P140,F,1096.47
P140,G,1129.36
P140,H,1163.24
P141,A,732.58
P141,B,754.56
P141,C,777.2
P141,D,800.52
P141,E,824.54
P141,F,849.28
P141,G,874.76
P141,H,901
P142,A,909.26
P142,B,936.54
P142,C,964.64
P142,D,993.58
P142,E,1023.39
P142,F,1054.09
P142,G,1085.71
P142,H,1118.28
P143,A,167.57
P143,B,172.6
P143,C,177.78
P143,D,183.11
P143,E,188.6
P143,F,194.26
P143,G,200.09
P143,H,206.09
P144,A,824.93
P144,B,849.68
P144,C,875.17
P144,D,901.43
P144,E,928.47
P144,F,956.32
P144,G,985.01
P144,H,1014.56
P145,A,424.95
P145,B,437.7
P145,C,450.83
P145,D,464.35
P145,E,478.28
P145,F,492.63
P145,G,507.41
P145,H,522.63
P146,A,429.71
P146,B,442.6
P146,C,455.88
P146,D,469.56
P146,E,483.65
P146,F,498.16
P146,G,513.1
P146,H,528.49
P147,A,260.94
P147,B,268.77
P147,C,276.83
P147,D,285.13
P147,E,293.68
P147,F,302.49
P147,G,311.56
P147,H,320.91
P148,A,272.57
P148,B,280.75
P148,C,289.17
P148,D,297.85
P148,E,306.79
P148,F,315.99
P148,G,325.47
P148,H,335.23
P149,A,441.07
P149,B,454.3
P149,C,467.93
P149,D,481.97
P149,E,496.43
P149,F,511.32
P149,G,526.66
P149,H,542.46
P150,A,762.47
P150,B,785.34
P150,C,808.9
P150,D,833.17
P150,E,858.17
P150,F,883.92
P150,G,910.44
P150,H,937.75
P151,A,442.82
P151,B,456.1
P151,C,469.78
P151,D,483.87
P151,E,498.39
P151,F,513.34
P151,G,528.74
P151,H,544.6
P152,A,231.59
P152,B,238.54
P152,C,245.7
P152,D,253.07
P152,E,260.66
P152,F,268.48
P152,G,276.53
P152,H,284.83
P153,A,592.11
P153,B,609.87
P153,C,628.17
P153,D,647.02
P153,E,666.43
P153,F,686.42
P153,G,707.01
P153,H,728.22
P154,A,738.78
P154,B,760.94
P154,C,783.77
P154,D,807.28
P154,E,831.5
P154,F,856.45
P154,G,882.14
P154,H,908.6
P155,A,83.83
P155,B,86.34
P155,C,88.93
P155,D,91.6
P155,E,94.35
P155,F,97.18
P155,G,100.1
P155,H,103.1
P156,A,281.46
P156,B,289.9
P156,C,298.6
P156,D,307.56
P156,E,316.79
P156,F,326.29
P156,G,336.08
P156,H,346.16
P157,A,948.32
P157,B,976.77
P157,C,1006.07
P157,D,1036.25
P157,E,1067.34
P157,F,1099.36
P157,G,1132.34
P157,H,1166.31
P158,A,313.04
P158,B,322.43
P158,C,332.1
P158,D,342.06
P158,E,352.32
P158,F,362.89
P158,G,373.78
P158,H,384.99
P159,A,473.01
P159,B,487.2
P159,C,501.82
P159,D,516.87
P159,E,532.38
P159,F,548.35
P159,G,564.8
P159,H,581.74
P160,A,450.03
P160,B,463.53
P160,C,477.44
P160,D,491.76
P160,E,506.51
P160,F,521.71
P160,G,537.36
P160,H,553.48
P161,A,157.25
P161,B,161.97
P161,C,166.83
P161,D,171.83
P161,E,176.98
P161,F,182.29
P161,G,187.76
P161,H,193.39
P162,A,478.02
P162,B,492.36
P162,C,507.13
P162,D,522.34
P162,E,538.01
P162,F,554.15
P162,G,570.77
P162,H,587.89
P163,A,920.21
P163,B,947.82
P163,C,976.25
P163,D,1005.54
P163,E,1035.71
P163,F,1066.78
P163,G,1098.78
P163,H,1131.74
P164,A,57.53
P164,B,59.26
P164,C,61.04
P164,D,62.87
P164,E,64.76
P164,F,66.7
P164,G,68.7
P164,H,70.76
P165,A,721.25
P165,B,742.89
P165,C,765.18
P165,D,788.14
P165,E,811.78
P165,F,836.13
P165,G,861.21
P165,H,887.05
P166,A,205.74
P166,B,211.91
P166,C,218.27
P166,D,224.82
P166,E,231.56
P166,F,238.51
P166,G,245.67
P166,H,253.04
P167,A,956.08
P167,B,984.76
P167,C,1014.3
P167,D,1044.73
P167,E,1076.07
P167,F,1108.35
P167,G,1141.6
P167,H,1175.85
P168,A,226.11
P168,B,232.89
P168,C,239.88
P168,D,247.08
P168,E,254.49
P168,F,262.12
P168,G,269.98
P168,H,278.08
P169,A,892.87
P169,B,919.66
P169,C,947.25
P169,D,975.67
P169,E,1004.94
P169,F,1035.09
P169,G,1066.14
P169,H,1098.12
P170,A,947.44
P170,B,975.86
P170,C,1005.14
P170,D,1035.29
P170,E,1066.35
P170,F,1098.34
P170,G,1131.29
P170,H,1165.23
P171,A,795.38
P171,B,819.24
P171,C,843.82
P171,D,869.13
P171,E,895.2
P171,F,922.06
P171,G,949.72
P171,H,978.21
P172,A,646.48
P172,B,665.87
P172,C,685.85
P172,D,706.43
P172,E,727.62
P172,F,749.45
P172,G,771.93
P172,H,795.09
P173,A,543.68
P173,B,559.99
P173,C,576.79
P173,D,594.09
P173,E,611.91
P173,F,630.27
P173,G,649.18
P173,H,668.66
P174,A,372.52
P174,B,383.7
P174,C,395.21
P174,D,407.07
P174,E,419.28
P174,F,431.86
P174,G,444.82
P174,H,458.16
P175,A,620.56
P175,B,639.18
P175,C,658.36
P175,D,678.11
P175,E,698.45
P175,F,719.4
P175,G,740.98
P175,H,763.21
P176,A,421.8
P176,B,434.45
P176,C,447.48
P176,D,460.9
P176,E,474.73
P176,F,488.97
P176,G,503.64
P176,H,518.75
P177,A,826.35
P177,B,851.14
P177,C,876.67
P177,D,902.97
P177,E,930.06
P177,F,957.96
P177,G,986.7
P177,H,1016.3
P178,A,487.54
P178,B,502.17
P178,C,517.24
P178,D,532.76
P178,E,548.74
P178,F,565.2
P178,G,582.16
P178,H,599.62
P179,A,209.17
P179,B,215.45
P179,C,221.91
P179,D,228.57
P179,E,235.43
P179,F,242.49
P179,G,249.76
P179,H,257.25
P180,A,515.98
P180,B,531.46
P180,C,547.4
P180,D,563.82
P180,E,580.73
P180,F,598.15
P180,G,616.09
P180,H,634.57
P181,A,92.99
P181,B,95.78
P181,C,98.65
P181,D,101.61
P181,E,104.66
P181,F,107.8
P181,G,111.03
P181,H,114.36
P182,A,500.62
P182,B,515.64
P182,C,531.11
P182,D,547.04
P182,E,563.45
P182,F,580.35
P182,G,597.76
P182,H,615.69
P183,A,840.03
P183,B,865.23
P183,C,891.19
P183,D,917.93
P183,E,945.47
P183,F,973.83
P183,G,1003.04
P183,H,1033.13
P184,A,777.49
P184,B,800.81
P184,C,824.83
P184,D,849.57
P184,E,875.06
P184,F,901.31
P184,G,928.35
P184,H,956.2
P185,A,711.17
P185,B,732.51
P185,C,754.49
P185,D,777.12
P185,E,800.43
P185,F,824.44
P185,G,849.17
P185,H,874.65
P186,A,959.6
P186,B,988.39
P186,C,1018.04
P186,D,1048.58
P186,E,1080.04
P186,F,1112.44
P186,G,1145.81
P186,H,1180.18
P187,A,701.81
P187,B,722.86
P187,C,744.55
P187,D,766.89
P187,E,789.9
P187,F,813.6
P187,G,838.01
P187,H,863.15
P188,A,190.14
P188,B,195.84
P188,C,201.72
P188,D,207.77
P188,E,214
P188,F,220.42
P188,G,227.03
P188,H,233.84
P189,A,587.44
P189,B,605.06
P189,C,623.21
P189,D,641.91
P189,E,661.17
P189,F,681.01
P189,G,701.44
P189,H,722.48
P190,A,396.62
P190,B,408.52
P190,C,420.78
P190,D,433.4
P190,E,446.4
P190,F,459.79
P190,G,473.58
P190,H,487.79
P191,A,82.77
P191,B,85.25
P191,C,87.81
P191,D,90.44
P191,E,93.15
P191,F,95.94
P191,G,98.82
P191,H,101.78
P192,A,547.43
P192,B,563.85
P192,C,580.77
P192,D,598.19
P192,E,616.14
P192,F,634.62
P192,G,653.66
P192,H,673.27
P193,A,51.93
P193,B,53.49
P193,C,55.09
P193,D,56.74
P193,E,58.44
P193,F,60.19
P193,G,62
P193,H,63.86
P194,A,286.17
P194,B,294.76
P194,C,303.6
P194,D,312.71
P194,E,322.09
P194,F,331.75
P194,G,341.7
P194,H,351.95
P195,A,31.7
P195,B,32.65
P195,C,33.63
P195,D,34.64
P195,E,35.68
P195,F,36.75
P195,G,37.85
P195,H,38.99
P196,A,426.7
P196,B,439.5
P196,C,452.69
P196,D,466.27
P196,E,480.26
P196,F,494.67
P196,G,509.51
P196,H,524.8
P197,A,882.23
P197,B,908.7
P197,C,935.96
P197,D,964.04
P197,E,992.96
P197,F,1022.75
P197,G,1053.43
P197,H,1085.03
P198,A,707.21
P198,B,728.43
P198,C,750.28
P198,D,772.79
P198,E,795.97
P198,F,819.85
P198,G,844.45
P198,H,869.78
P199,A,874.47
P199,B,900.7
P199,C,927.72
P199,D,955.55
P199,E,984.22
P199,F,1013.75
P199,G,1044.16
P199,H,1075.48
P200,A,420.94
P200,B,433.57
P200,C,446.58
P200,D,459.98
P200,E,473.78
P200,F,487.99
P200,G,502.63
P200,H,517.71
P201,A,151.2
P201,B,155.74
P201,C,160.41
P201,D,165.22
P201,E,170.18
P201,F,175.29
P201,G,180.55
P201,H,185.97
P202,A,297.1
P202,B,306.01
P202,C,315.19
P202,D,324.65
P202,E,334.39
P202,F,344.42
P202,G,354.75
P202,H,365.39
P203,A,816.17
P203,B,840.66
P203,C,865.88
P203,D,891.86
P203,E,918.62
P203,F,946.18
P203,G,974.57
P203,H,1003.81
P204,A,996.51
P204,B,1026.41
P204,C,1057.2
P204,D,1088.92
P204,E,1121.59
P204,F,1155.24
P204,G,1189.9
P204,H,1225.6
P205,A,727.26
P205,B,749.08
P205,C,771.55
P205,D,794.7
P205,E,818.54
P205,F,843.1
P205,G,868.39
P205,H,894.44
P206,A,912.06
P206,B,939.42
P206,C,967.6
P206,D,996.63
P206,E,1026.53
P206,F,1057.33
P206,G,1089.05
P206,H,1121.72
P207,A,601.82
P207,B,619.87
P207,C,638.47
P207,D,657.62
P207,E,677.35
P207,F,697.67
P207,G,718.6
P207,H,740.16
P208,A,189.09
P208,B,194.76
P208,C,200.6
P208,D,206.62
P208,E,212.82
P208,F,219.2
P208,G,225.78
P208,H,232.55
P209,A,320.37
P209,B,329.98
P209,C,339.88
P209,D,350.08
P209,E,360.58
P209,F,371.4
P209,G,382.54
P209,H,394.02
P210,A,144.1
P210,B,148.42
P210,C,152.87
P210,D,157.46
P210,E,162.18
P210,F,167.05
P210,G,172.06
P210,H,177.22
P211,A,687.13
P211,B,707.74
P211,C,728.97
P211,D,750.84
P211,E,773.37
P211,F,796.57
P211,G,820.47
P211,H,845.08
P212,A,454.77
P212,B,468.41
P212,C,482.46
P212,D,496.93
P212,E,511.84
P212,F,527.2
P212,G,543.02
P212,H,559.31
P213,A,953.88
P213,B,982.5
P213,C,1011.98
P213,D,1042.34
P213,E,1073.61
P213,F,1105.82
P213,G,1138.99
P213,H,1173.16
P214,A,827.24
P214,B,852.06
P214,C,877.62
P214,D,903.95
P214,E,931.07
P214,F,959
P214,G,987.77
P214,H,1017.4
P215,A,544.49
P215,B,560.82
P215,C,577.64
P215,D,594.97
P215,E,612.82
P215,F,631.2
P215,G,650.14
P215,H,669.64
P216,A,95.96
P216,B,98.84
P216,C,101.81
P216,D,104.86
P216,E,108.01
P216,F,111.25
P216,G,114.59
P216,H,118.03
P217,A,509.13
P217,B,524.4
P217,C,540.13
P217,D,556.33
P217,E,573.02
P217,F,590.21
P217,G,607.92
P217,H,626.16
P218,A,737.63
P218,B,759.76
P218,C,782.55
P218,D,806.03
P218,E,830.21
P218,F,855.12
P218,G,880.77
P218,H,907.19
P219,A,231.06
P219,B,237.99
P219,C,245.13
P219,D,252.48
P219,E,260.05
P219,F,267.85
P219,G,275.89
P219,H,284.17
P220,A,27.5
P220,B,28.33
P220,C,29.18
P220,D,30.06
P220,E,30.96
P220,F,31.89
P220,G,32.85
P220,H,33.84
P221,A,641.46
P221,B,660.7
P221,C,680.52
P221,D,700.94
P221,E,721.97
P221,F,743.63
P221,G,765.94
P221,H,788.92
P222,A,114.49
P222,B,117.92
P222,C,121.46
P222,D,125.1
P222,E,128.85
P222,F,132.72
P222,G,136.7
P222,H,140.8
P223,A,758.55
P223,B,781.31
P223,C,804.75
P223,D,828.89
P223,E,853.76
P223,F,879.37
P223,G,905.75
P223,H,932.92
P224,A,404.94
P224,B,417.09
P224,C,429.6
P224,D,442.49
P224,E,455.76
P224,F,469.43
P224,G,483.51
P224,H,498.02
P225,A,677.11
P225,B,697.42
P225,C,718.34
P225,D,739.89
P225,E,762.09
P225,F,784.95
P225,G,808.5
P225,H,832.76
P226,A,251.49
P226,B,259.03
P226,C,266.8
P226,D,274.8
P226,E,283.04
P226,F,291.53
P226,G,300.28
P226,H,309.29
P227,A,296.63
P227,B,305.53
P227,C,314.7
P227,D,324.14
P227,E,333.86
P227,F,343.88
P227,G,354.2
P227,H,364.83
P228,A,825.3
P228,B,850.06
P228,C,875.56
P228,D,901.83
P228,E,928.88
P228,F,956.75
P228,G,985.45
P228,H,1015.01
P229,A,764.44
P229,B,787.37
P229,C,810.99
P229,D,835.32
P229,E,860.38
P229,F,886.19
P229,G,912.78
P229,H,940.16
P230,A,746.25
P230,B,768.64
P230,C,791.7
P230,D,815.45
P230,E,839.91
P230,F,865.11
P230,G,891.06
P230,H,917.79
P231,A,80.83
P231,B,83.25
P231,C,85.75
P231,D,88.32
P231,E,90.97
P231,F,93.7
P231,G,96.51
P231,H,99.41
P232,A,382.38
P232,B,393.85
P232,C,405.67
P232,D,417.84
P232,E,430.38
P232,F,443.29
P232,G,456.59
P232,H,470.29
P233,A,366.42
P233,B,377.41
P233,C,388.73
P233,D,400.39
P233,E,412.4
P233,F,424.77
P233,G,437.51
P233,H,450.64
P234,A,624.48
P234,B,643.21
P234,C,662.51
P234,D,682.39
P234,E,702.86
P234,F,723.95
P234,G,745.67
P234,H,768.04
P235,A,740.16
P235,B,762.36
P235,C,785.23
P235,D,808.79
P235,E,833.05
P235,F,858.04
P235,G,883.78
P235,H,910.29
P236,A,293
P236,B,301.79
P236,C,310.84
P236,D,320.17
P236,E,329.78
P236,F,339.67
P236,G,349.86
P236,H,360.36
P237,A,721.92
P237,B,743.58
P237,C,765.89
P237,D,788.87
P237,E,812.54
P237,F,836.92
P237,G,862.03
P237,H,887.89
P238,A,404.4
P238,B,416.53
P238,C,429.03
P238,D,441.9
P238,E,455.16
P238,F,468.81
P238,G,482.87
P238,H,497.36
P239,A,879.42
P239,B,905.8
P239,C,932.97
P239,D,960.96
P239,E,989.79
P239,F,1019.48
P239,G,1050.06
P239,H,1081.56
P240,A,39.62
P240,B,40.81
P240,C,42.03
P240,D,43.29
P240,E,44.59
P240,F,45.93
P240,G,47.31
P240,H,48.73
P241,A,29.44
P241,B,30.32
P241,C,31.23
P241,D,32.17
P241,E,33.14
P241,F,34.13
P241,G,35.15
P241,H,36.2
P242,A,702.7
P242,B,723.78
P242,C,745.49
P242,D,767.85
P242,E,790.89
P242,F,814.62
P242,G,839.06
P242,H,864.23
P243,A,863.28
P243,B,889.18
P243,C,915.86
P243,D,943.34
P243,E,971.64
P243,F,1000.79
P243,G,1030.81
P243,H,1061.73
P244,A,948.85
P244,B,977.32
P244,C,1006.64
P244,D,1036.84
P244,E,1067.95
P244,F,1099.99
P244,G,1132.99
P244,H,1166.98
P245,A,468.15
P245,B,482.19
P245,C,496.66
P245,D,511.56
P245,E,526.91
P245,F,542.72
P245,G,559
P245,H,575.77
P246,A,280.92
P246,B,289.35
P246,C,298.03
P246,D,306.97
P246,E,316.18
P246,F,325.67
P246,G,335.44
P246,H,345.5
P247,A,163.37
P247,B,168.27
P247,C,173.32
P247,D,178.52
P247,E,183.88
P247,F,189.4
P247,G,195.08
P247,H,200.93
P248,A,947.94
P248,B,976.38
P248,C,1005.67
P248,D,1035.84
P248,E,1066.92
P248,F,1098.93
P248,G,1131.9
P248,H,1165.86
P249,A,201.31
P249,B,207.35
P249,C,213.57
P249,D,219.98
P249,E,226.58
P249,F,233.38
P249,G,240.38
P249,H,247.59
P250,A,33.66
P250,B,34.67
P250,C,35.71
P250,D,36.78
P250,E,37.88
P250,F,39.02
P250,G,40.19
P250,H,41.4
P251,A,117.56
P251,B,121.09
P251,C,124.72
P251,D,128.46
P251,E,132.31
P251,F,136.28
P251,G,140.37
P251,H,144.58
P252,A,56.98
P252,B,58.69
P252,C,60.45
P252,D,62.26
P252,E,64.13
P252,F,66.05
P252,G,68.03
P252,H,70.07
P253,A,138.03
P253,B,142.17
P253,C,146.44
P253,D,150.83
P253,E,155.35
P253,F,160.01
P253,G,164.81
P253,H,169.75
P254,A,188.49
P254,B,194.14
P254,C,199.96
P254,D,205.96
P254,E,212.14
P254,F,218.5
P254,G,225.06
P254,H,231.81
P255,A,608.13
P255,B,626.37
P255,C,645.16
P255,D,664.51
P255,E,684.45
P255,F,704.98
P255,G,726.13
P255,H,747.91
P256,A,561.09
P256,B,577.92
P256,C,595.26
P256,D,613.12
P256,E,631.51
P256,F,650.46
P256,G,669.97
P256,H,690.07
P257,A,538.43
P257,B,554.58
P257,C,571.22
P257,D,588.36
P257,E,606.01
P257,F,624.19
P257,G,642.92
P257,H,662.21
P258,A,475.45
P258,B,489.71
P258,C,504.4
P258,D,519.53
P258,E,535.12
P258,F,551.17
P258,G,567.71
P258,H,584.74
P259,A,228.22
P259,B,235.07
P259,C,242.12
P259,D,249.38
P259,E,256.86
P259,F,264.57
P259,G,272.51
P259,H,280.69
P260,A,112.95
P260,B,116.34
P260,C,119.83
P260,D,123.42
P260,E,127.12
P260,F,130.93
P260,G,134.86
P260,H,138.91
P261,A,105.95
P261,B,109.13
P261,C,112.4
P261,D,115.77
P261,E,119.24
P261,F,122.82
P261,G,126.5
P261,H,130.3
P262,A,476.08
P262,B,490.36
P262,C,505.07
P262,D,520.22
P262,E,535.83
P262,F,551.9
P262,G,568.46
P262,H,585.51
P263,A,867.76
P263,B,893.79
P263,C,920.6
P263,D,948.22
P263,E,976.67
P263,F,1005.97
P263,G,1036.15
P263,H,1067.23
P264,A,846.72
P264,B,872.12
P264,C,898.28
P264,D,925.23
P264,E,952.99
P264,F,981.58
P264,G,1011.03
P264,H,1041.36
P265,A,89.04
P265,B,91.71
P265,C,94.46
P265,D,97.29
P265,E,100.21
P265,F,103.22
P265,G,106.32
P265,H,109.51
P266,A,130.28
P266,B,134.19
P266,C,138.22
P266,D,142.37
P266,E,146.64
P266,F,151.04
P266,G,155.57
P266,H,160.24
P267,A,84.17
P267,B,86.7
P267,C,89.3
P267,D,91.98
P267,E,94.74
P267,F,97.58
P267,G,100.51
P267,H,103.53
P268,A,258.83
P268,B,266.59
P268,C,274.59
P268,D,282.83
P268,E,291.31
P268,F,300.05
P268,G,309.05
P268,H,318.32
P269,A,268.78
P269,B,276.84
P269,C,285.15
P269,D,293.7
P269,E,302.51
P269,F,311.59
P269,G,320.94
P269,H,330.57
P270,A,799.67
P270,B,823.66
P270,C,848.37
P270,D,873.82
P270,E,900.03
P270,F,927.03
P270,G,954.84
P270,H,983.49
P271,A,725.72
P271,B,747.49
P271,C,769.91
P271,D,793.01
P271,E,816.8
P271,F,841.3
P271,G,866.54
P271,H,892.54
P272,A,189.85
P272,B,195.55
P272,C,201.42
P272,D,207.46
P272,E,213.68
P272,F,220.09
P272,G,226.69
P272,H,233.49
P273,A,263.13
P273,B,271.02
P273,C,279.15
P273,D,287.52
P273,E,296.15
P273,F,305.03
P273,G,314.18
P273,H,323.61
P274,A,252.21
P274,B,259.78
P274,C,267.57
P274,D,275.6
P274,E,283.87
P274,F,292.39
P274,G,301.16
P274,H,310.19
P275,A,730.81
P275,B,752.73
P275,C,775.31
P275,D,798.57
P275,E,822.53
P275,F,847.21
P275,G,872.63
P275,H,898.81
P276,A,91.51
P276,B,94.26
P276,C,97.09
P276,D,100
P276,E,103
P276,F,106.09
P276,G,109.27
P276,H,112.55
P277,A,587.4
P277,B,605.02
P277,C,623.17
P277,D,641.87
P277,E,661.13
P277,F,680.96
P277,G,701.39
P277,H,722.43
P278,A,252.12
P278,B,259.68
P278,C,267.47
P278,D,275.49
P278,E,283.75
P278,F,292.26
P278,G,301.03
P278,H,310.06
P279,A,114.81
P279,B,118.25
P279,C,121.8
P279,D,125.45
P279,E,129.21
P279,F,133.09
P279,G,137.08
P279,H,141.19
P280,A,279.72
P280,B,288.11
P280,C,296.75
P280,D,305.65
P280,E,314.82
P280,F,324.26
P280,G,333.99
P280,H,344.01
P281,A,357.14
P281,B,367.85
P281,C,378.89
P281,D,390.26
P281,E,401.97
P281,F,414.03
P281,G,426.45
P281,H,439.24
P282,A,496.82
P282,B,511.72
P282,C,527.07
P282,D,542.88
P282,E,559.17
P282,F,575.95
P282,G,593.23
P282,H,611.03
P283,A,842.73
P283,B,868.01
P283,C,894.05
P283,D,920.87
P283,E,948.5
P283,F,976.96
P283,G,1006.27
P283,H,1036.46
P284,A,72.57
P284,B,74.75
P284,C,76.99
P284,D,79.3
P284,E,81.68
P284,F,84.13
P284,G,86.65
P284,H,89.25
P285,A,144.01
P285,B,148.33
P285,C,152.78
P285,D,157.36
P285,E,162.08
P285,F,166.94
P285,G,171.95
P285,H,177.11
P286,A,563.35
P286,B,580.25
P286,C,597.66
P286,D,615.59
P286,E,634.06
P286,F,653.08
P286,G,672.67
P286,H,692.85
P287,A,209.29
P287,B,215.57
P287,C,222.04
P287,D,228.7
P287,E,235.56
P287,F,242.63
P287,G,249.91
P287,H,257.41
P288,A,976.58
P288,B,1005.88
P288,C,1036.06
P288,D,1067.14
P288,E,1099.15
P288,F,1132.12
P288,G,1166.08
P288,H,1201.06
P289,A,253.28
P289,B,260.88
P289,C,268.71
P289,D,276.77
P289,E,285.07
P289,F,293.62
P289,G,302.43
P289,H,311.5
P290,A,338.04
P290,B,348.18
P290,C,358.63
P290,D,369.39
P290,E,380.47
P290,F,391.88
P290,G,403.64
P290,H,415.75
P291,A,637.56
P291,B,656.69
P291,C,676.39
P291,D,696.68
P291,E,717.58
P291,F,739.11
P291,G,761.28
P291,H,784.12
P292,A,957.05
