Ledger,Account,PartNo,Contact,Project,Unit Code,D/C,Currency
L74,11164,A12,C34,B23,PCS,C,C03
L74,17005,A20,C39,B28,PCS,D,C06
L74,18252,A13,C39,B28,PCS,C,C07
L84,18410,A11,C33,B24,PCS,C,C05
L93,11471,A18,C37,B28,PCS,D,C01
L12,15224,A15,C31,B22,PCS,D,C10
L17,12786,A20,C37,B26,PCS,C,C10
L19,11917,A11,C40,B22,PCS,C,C07
L29,19095,A12,C38,B25,PCS,C,C06
L30,13934,A13,C35,B26,PCS,C,C04
L33,12687,A12,C38,B29,PCS,D,C07
L49,16835,A13,C30,B28,PCS,D,C07
L50,15666,A17,C40,B25,PCS,D,C03
L75,18683,A15,C31,B27,PCS,D,C07
L75,14314,A15,C38,B29,PCS,C,C06
L75,14569,A10,C36,B24,PCS,C,C05
L80,18114,A20,C32,B24,PCS,D,C06
L97,13192,A20,C32,B29,PCS,C,C05
L10,13723,A11,C34,B30,PCS,C,C05
L14,14837,A18,C32,B30,PCS,D,C07
L25,17572,A17,C39,B26,PCS,D,C09
L37,16974,A19,C37,B20,PCS,D,C09
L41,17179,A16,C39,B28,PCS,D,C10
L49,19785,A11,C35,B20,PCS,C,C07
L57,13158,A14,C34,B28,PCS,C,C06
L69,18448,A15,C30,B27,PCS,C,C09
L80,10155,A12,C33,B30,PCS,C,C04
L81,13984,A17,C33,B20,PCS,D,C01
L85,11824,A12,C36,B30,PCS,D,C09
L89,16936,A20,C30,B29,PCS,C,C08
L90,14629,A20,C38,B26,PCS,C,C02
L94,19337,A10,C32,B30,PCS,D,C09
L78,18571,A10,C30,B27,PCS,C,C05
L84,17315,A17,C30,B21,PCS,D,C03
L97,17070,A18,C30,B22,PCS,C,C01
L23,18664,A16,C34,B27,PCS,D,C02
L31,14068,A10,C31,B24,PCS,D,C01
L65,12411,A20,C34,B21,PCS,D,C03
L65,10754,A17,C36,B26,PCS,C,C07
L71,10300,A10,C30,B21,PCS,C,C09
L83,17314,A14,C37,B25,PCS,C,C05
L95,13459,A14,C36,B24,PCS,D,C09
L99,16729,A10,C30,B20,PCS,C,C06
L16,13670,A20,C32,B24,PCS,D,C05
L25,13953,A16,C31,B24,PCS,C,C04
L45,16848,A13,C37,B24,PCS,C,C09
L53,17432,A16,C32,B30,PCS,C,C04
L62,16975,A17,C35,B24,PCS,C,C10
L70,12873,A14,C37,B20,PCS,D,C10
L71,10808,A11,C36,B24,PCS,D,C04
L93,15334,A20,C30,B30,PCS,D,C06
L34,18443,A12,C37,B28,PCS,C,C06
L39,15297,A15,C34,B29,PCS,D,C07
L59,18778,A15,C34,B24,PCS,C,C10
L62,16563,A17,C39,B22,PCS,D,C05
L77,15167,A10,C32,B25,PCS,D,C02
L89,13273,A10,C37,B25,PCS,D,C08
L11,14688,A17,C39,B26,PCS,D,C07
L15,17902,A20,C40,B20,PCS,C,C04
L18,10314,A15,C38,B27,PCS,C,C02
L21,17262,A19,C36,B23,PCS,C,C08
L28,13214,A11,C39,B22,PCS,D,C06
L29,12651,A20,C34,B23,PCS,C,C07
L37,11448,A12,C32,B23,PCS,C,C09
L80,10128,A17,C30,B21,PCS,C,C07
L89,13535,A17,C35,B30,PCS,D,C04
L10,14459,A19,C37,B20,PCS,C,C02
L17,18189,A10,C37,B23,PCS,C,C04
L53,14978,A12,C33,B24,PCS,C,C06
L55,11156,A20,C34,B30,PCS,C,C09
L57,13763,A14,C38,B21,PCS,C,C05
L67,19282,A11,C31,B29,PCS,C,C06
L77,16285,A16,C32,B27,PCS,C,C02
L82,14802,A20,C31,B27,PCS,C,C03
L86,14116,A20,C32,B22,PCS,D,C10
L94,13624,A11,C36,B30,PCS,C,C09
L94,19318,A14,C33,B26,PCS,C,C03
L18,13867,A16,C31,B30,PCS,C,C06
L32,10236,A12,C33,B30,PCS,C,C09
L32,15552,A18,C40,B24,PCS,D,C09
L50,16946,A18,C33,B28,PCS,D,C03
L50,19786,A14,C38,B29,PCS,D,C10
L51,16701,A14,C39,B28,PCS,D,C05
L53,10913,A12,C30,B21,PCS,C,C04
L81,17590,A11,C33,B22,PCS,C,C10
L11,13869,A19,C38,B21,PCS,C,C03
L21,12569,A13,C34,B30,PCS,C,C03
L24,15674,A10,C34,B27,PCS,D,C02
L37,11762,A14,C39,B23,PCS,C,C03
L43,11794,A16,C36,B29,PCS,D,C06
L44,11312,A19,C37,B24,PCS,C,C08
L51,13301,A14,C34,B26,PCS,C,C08
L61,17463,A16,C38,B27,PCS,D,C09
L91,11948,A18,C30,B26,PCS,D,C01
L99,13421,A11,C31,B28,PCS,C,C01
L99,18000,A18,C39,B20,PCS,C,C05
L40,15464,A17,C39,B25,PCS,D,C04
L73,10669,A10,C30,B28,PCS,D,C01
L77,19269,A11,C36,B25,PCS,D,C06
L23,12778,A10,C37,B28,PCS,C,C07
L46,13199,A10,C38,B30,PCS,C,C01
L49,13018,A12,C36,B22,PCS,D,C04
L10,11071,A15,C33,B22,PCS,C,C01
L37,18057,A17,C37,B28,PCS,D,C01
L43,12340,A10,C37,B29,PCS,D,C07
L46,13018,A20,C31,B22,PCS,C,C08
L58,12748,A17,C35,B22,PCS,C,C04
L58,17895,A10,C38,B24,PCS,C,C10
L60,18049,A11,C31,B27,PCS,D,C04
L82,11117,A12,C38,B29,PCS,D,C06
L84,18770,A10,C34,B22,PCS,D,C09
L86,18637,A15,C32,B24,PCS,D,C08
L37,10029,A10,C37,B28,PCS,D,C10
L53,18185,A11,C33,B28,PCS,C,C01
L68,17908,A13,C39,B26,PCS,C,C06
L79,16295,A10,C34,B24,PCS,D,C02
L13,18975,A16,C37,B21,PCS,D,C02
L22,10685,A11,C32,B20,PCS,D,C03
L24,17650,A12,C30,B27,PCS,C,C04
L52,18531,A18,C38,B21,PCS,D,C10
L61,18092,A19,C35,B29,PCS,C,C06
L97,14931,A16,C40,B21,PCS,C,C02
L14,19133,A12,C33,B20,PCS,D,C06
L46,15288,A20,C35,B28,PCS,D,C03
L50,12455,A13,C36,B25,PCS,C,C04
L53,13720,A11,C39,B29,PCS,D,C01
L70,17711,A17,C39,B26,PCS,D,C04
L11,17383,A13,C38,B30,PCS,C,C03
L28,19843,A18,C37,B21,PCS,D,C06
L31,15117,A11,C30,B25,PCS,C,C03
L36,10714,A16,C36,B21,PCS,D,C01
L52,12174,A15,C38,B23,PCS,D,C06
L61,15574,A17,C40,B21,PCS,D,C07
L72,18217,A10,C36,B29,PCS,C,C07
L78,15710,A20,C37,B23,PCS,D,C06
L29,14502,A13,C40,B27,PCS,C,C01
L30,10115,A12,C36,B23,PCS,D,C04
L58,16165,A11,C38,B29,PCS,D,C01
L82,11665,A18,C32,B25,PCS,C,C02
L11,19829,A19,C33,B28,PCS,C,C05
L12,18763,A17,C36,B27,PCS,D,C05
L29,19631,A12,C35,B20,PCS,D,C08
L43,17593,A11,C38,B28,PCS,C,C02
L50,17402,A16,C37,B23,PCS,D,C05
L74,13555,A12,C39,B25,PCS,C,C09
L77,16287,A17,C33,B25,PCS,D,C08
L78,10238,A12,C40,B25,PCS,D,C05
L79,15255,A17,C33,B26,PCS,D,C10
L86,12436,A14,C32,B28,PCS,C,C10
L18,10362,A17,C36,B30,PCS,C,C09
L21,16337,A18,C40,B20,PCS,D,C02
L48,11161,A13,C38,B27,PCS,C,C06
L75,13624,A16,C40,B24,PCS,C,C01
L81,13740,A16,C33,B22,PCS,C,C06
L92,14170,A17,C30,B25,PCS,C,C10
L93,12475,A17,C32,B24,PCS,D,C01
L18,14299,A20,C40,B30,PCS,C,C06
L19,19152,A12,C31,B23,PCS,D,C05
L30,11473,A17,C40,B22,PCS,D,C06
L34,10450,A14,C36,B25,PCS,D,C02
L36,10823,A11,C38,B22,PCS,C,C03
L42,17463,A20,C37,B29,PCS,D,C01
L53,19516,A11,C35,B30,PCS,C,C05
L59,12260,A16,C40,B25,PCS,C,C06
L73,16733,A20,C31,B23,PCS,C,C07
L89,19307,A14,C37,B28,PCS,D,C10
L91,13640,A20,C30,B27,PCS,D,C06
L12,16034,A19,C32,B20,PCS,D,C03
L23,19833,A15,C40,B24,PCS,C,C03
L55,13409,A10,C30,B23,PCS,C,C03
L58,12509,A17,C31,B29,PCS,D,C01
L80,17582,A20,C37,B25,PCS,C,C06
L85,15285,A14,C34,B28,PCS,D,C09
L97,10751,A17,C34,B22,PCS,C,C03
L19,14759,A14,C36,B30,PCS,C,C01
L37,11783,A14,C40,B30,PCS,C,C01
L44,18607,A14,C36,B20,PCS,C,C03
L48,17511,A16,C38,B29,PCS,D,C02
L58,13230,A12,C38,B24,PCS,D,C04
L78,11137,A20,C34,B29,PCS,D,C06
L80,17909,A16,C30,B20,PCS,C,C10
L27,11831,A10,C35,B27,PCS,C,C03
L83,19203,A20,C38,B20,PCS,C,C05
L96,16058,A14,C36,B23,PCS,C,C04
L20,16649,A12,C39,B29,PCS,D,C04
L24,12258,A15,C40,B20,PCS,C,C10
L26,16333,A17,C35,B30,PCS,D,C01
L35,14786,A13,C37,B25,PCS,D,C01
L52,19706,A10,C39,B29,PCS,C,C08
L58,11395,A14,C38,B27,PCS,C,C01
L63,14815,A19,C40,B25,PCS,C,C10
L64,14127,A13,C40,B20,PCS,D,C02
L66,11698,A18,C40,B25,PCS,D,C04
L69,13456,A20,C31,B23,PCS,C,C03
L70,16910,A16,C34,B28,PCS,C,C01
L74,14400,A12,C34,B22,PCS,D,C08
L87,16365,A15,C32,B29,PCS,C,C01
L98,19051,A11,C31,B28,PCS,D,C06
L12,11882,A13,C35,B28,PCS,C,C03
L17,15523,A20,C40,B25,PCS,D,C01
L23,16995,A11,C34,B21,PCS,C,C10
L24,17956,A10,C33,B21,PCS,C,C06
L25,10583,A13,C30,B28,PCS,D,C06
L39,18179,A13,C39,B22,PCS,D,C01
L69,19735,A13,C39,B28,PCS,D,C04
L72,17874,A15,C38,B23,PCS,D,C01
L72,12577,A15,C34,B25,PCS,D,C08
L76,17864,A17,C36,B20,PCS,D,C04
L82,10342,A10,C35,B24,PCS,C,C02
L83,18170,A15,C35,B29,PCS,C,C04
L99,11680,A20,C40,B24,PCS,C,C05
L52,14255,A15,C33,B30,PCS,D,C04
L52,13398,A16,C33,B20,PCS,C,C01
L63,16725,A12,C32,B28,PCS,D,C03
L83,17528,A19,C32,B22,PCS,D,C03
L90,11857,A13,C33,B24,PCS,C,C07
L12,12862,A12,C33,B30,PCS,D,C08
L19,16315,A20,C40,B24,PCS,D,C07
L24,13636,A10,C35,B20,PCS,C,C01
L24,11742,A15,C35,B21,PCS,D,C01
L37,10486,A20,C36,B22,PCS,C,C08
L40,11656,A15,C37,B22,PCS,C,C01
L46,13480,A13,C38,B24,PCS,D,C07
L62,19892,A12,C38,B22,PCS,D,C10
L66,14294,A15,C38,B25,PCS,D,C08
L78,18707,A16,C32,B24,PCS,D,C06
L20,12495,A19,C33,B27,PCS,C,C07
L22,11913,A20,C38,B23,PCS,C,C01
L66,17209,A15,C37,B29,PCS,D,C10
L71,13447,A13,C35,B30,PCS,C,C08
L80,15634,A11,C36,B23,PCS,D,C03
L16,11546,A18,C31,B26,PCS,D,C03
L25,12673,A20,C39,B26,PCS,D,C03
L56,18828,A10,C34,B23,PCS,C,C08
L74,16666,A10,C37,B27,PCS,C,C04
L98,16596,A13,C37,B25,PCS,C,C05
L11,10862,A12,C31,B21,PCS,C,C06
L16,10830,A18,C39,B28,PCS,C,C10
L33,10680,A20,C39,B21,PCS,C,C04
L36,13644,A14,C39,B20,PCS,C,C10
L55,12602,A17,C38,B25,PCS,C,C09
L60,16669,A15,C30,B27,PCS,D,C01
L68,16628,A17,C33,B23,PCS,C,C07
L80,17193,A19,C30,B28,PCS,D,C08
L96,19074,A14,C39,B27,PCS,C,C08
L99,15717,A14,C31,B25,PCS,D,C08
L10,12929,A13,C32,B27,PCS,D,C08
L11,15000,A20,C30,B24,PCS,C,C06
L12,15375,A18,C34,B27,PCS,D,C07
L23,12755,A13,C36,B24,PCS,D,C08
L24,18248,A13,C40,B20,PCS,D,C07
L65,19582,A19,C34,B21,PCS,D,C03
L74,11101,A18,C36,B24,PCS,C,C06
L79,15458,A14,C35,B26,PCS,C,C01
L91,12222,A11,C35,B26,PCS,D,C04
L92,11328,A20,C36,B28,PCS,D,C02
L95,11079,A13,C34,B24,PCS,C,C04
L96,13312,A14,C38,B25,PCS,D,C01
L35,19970,A13,C38,B28,PCS,C,C06
L58,12878,A18,C36,B28,PCS,D,C08
L59,16447,A18,C34,B25,PCS,D,C01
L64,11678,A11,C35,B20,PCS,C,C03
L68,17830,A15,C38,B28,PCS,D,C06
L88,13383,A20,C35,B23,PCS,C,C02
L22,18643,A17,C36,B29,PCS,D,C01
L41,10766,A17,C36,B25,PCS,D,C06
L51,16304,A12,C38,B28,PCS,D,C02
L62,11336,A17,C32,B24,PCS,C,C05
L69,16815,A16,C36,B21,PCS,D,C01
L83,19293,A14,C39,B21,PCS,C,C06
L88,12701,A11,C31,B23,PCS,C,C07
L88,16244,A17,C36,B20,PCS,D,C07
L29,12179,A16,C34,B29,PCS,D,C04
L32,12722,A16,C30,B20,PCS,C,C05
L36,19221,A19,C32,B30,PCS,C,C05
L81,15883,A20,C30,B24,PCS,C,C10
L95,19609,A12,C38,B27,PCS,D,C02
L10,17661,A13,C33,B20,PCS,D,C05
L29,12336,A16,C40,B28,PCS,D,C08
L35,10298,A11,C35,B28,PCS,C,C06
L36,17849,A20,C37,B29,PCS,C,C03
L36,11051,A14,C33,B29,PCS,D,C04
L40,18433,A14,C37,B23,PCS,C,C01
L51,14364,A17,C31,B30,PCS,C,C02
L52,15289,A18,C30,B27,PCS,D,C04
L60,13783,A18,C35,B29,PCS,D,C04
L64,14527,A11,C36,B26,PCS,D,C03
L69,14063,A15,C34,B29,PCS,C,C05
L81,10210,A12,C30,B20,PCS,C,C03
L82,19648,A14,C31,B28,PCS,C,C04
L85,19040,A19,C37,B26,PCS,D,C04
L90,12302,A19,C38,B22,PCS,D,C06
L11,18305,A10,C39,B26,PCS,D,C03
L13,14666,A10,C32,B29,PCS,D,C01
L38,18728,A20,C33,B30,PCS,D,C06
L42,11720,A20,C37,B27,PCS,D,C07
L49,15766,A15,C39,B25,PCS,D,C05
L51,17873,A14,C37,B26,PCS,D,C05
L56,11986,A14,C39,B23,PCS,D,C03
L63,12915,A18,C39,B30,PCS,D,C07
L87,10640,A10,C34,B28,PCS,C,C03
L89,18323,A18,C32,B20,PCS,D,C01
L19,11453,A20,C34,B27,PCS,C,C01
L20,13672,A20,C40,B24,PCS,D,C03
L34,14440,A13,C37,B23,PCS,C,C08
L37,16882,A11,C34,B30,PCS,D,C10
L57,19359,A16,C40,B29,PCS,D,C02
L95,16239,A20,C37,B23,PCS,D,C04
L25,13870,A11,C34,B20,PCS,D,C10
L54,17819,A10,C31,B23,PCS,C,C03
L63,16702,A16,C31,B27,PCS,D,C06
L64,11195,A12,C32,B27,PCS,C,C09
L69,15808,A15,C40,B28,PCS,C,C08
L87,18614,A20,C32,B26,PCS,C,C06
L12,19611,A16,C35,B20,PCS,D,C07
L33,10210,A13,C34,B21,PCS,D,C08
L54,14986,A11,C32,B22,PCS,D,C05
L57,17309,A16,C39,B27,PCS,D,C04
L73,15603,A18,C37,B29,PCS,D,C06
L79,13246,A19,C31,B21,PCS,C,C03
L87,15472,A14,C40,B28,PCS,D,C03
L15,18707,A12,C39,B23,PCS,D,C08
L19,11730,A12,C31,B23,PCS,C,C05
L24,15838,A11,C32,B26,PCS,D,C02
L31,16496,A16,C30,B26,PCS,C,C07
L33,16718,A10,C37,B27,PCS,C,C07
L37,18516,A11,C31,B26,PCS,C,C05
L70,18393,A13,C37,B24,PCS,D,C01
L74,10517,A11,C40,B27,PCS,D,C03
L82,18268,A20,C30,B20,PCS,D,C02
L84,15728,A15,C38,B22,PCS,C,C10
L37,12749,A16,C37,B25,PCS,C,C03
L40,11281,A13,C30,B22,PCS,C,C05
L53,17265,A16,C37,B28,PCS,C,C02
L79,17863,A13,C32,B20,PCS,C,C04
L14,10347,A20,C36,B21,PCS,D,C06
L50,14068,A18,C33,B23,PCS,C,C10
L57,19622,A19,C34,B27,PCS,C,C05
L71,10011,A16,C33,B30,PCS,C,C04
L72,17086,A10,C36,B21,PCS,D,C08
L80,19739,A17,C32,B27,PCS,D,C08
L85,11433,A20,C40,B24,PCS,D,C01
L31,17173,A20,C40,B28,PCS,C,C04
L32,19681,A17,C33,B29,PCS,C,C06
L49,10408,A11,C31,B23,PCS,D,C02
L60,12811,A14,C37,B26,PCS,D,C02
L62,15462,A10,C40,B23,PCS,D,C06
L74,15731,A14,C40,B23,PCS,D,C01
L80,11561,A17,C33,B30,PCS,C,C03
L91,17159,A10,C38,B30,PCS,D,C03
L92,15432,A11,C30,B24,PCS,C,C02
L95,12533,A18,C32,B26,PCS,D,C09
L98,12818,A17,C38,B28,PCS,D,C01
L99,15259,A20,C39,B24,PCS,D,C03
L22,10978,A10,C37,B24,PCS,D,C08
L32,12188,A11,C35,B22,PCS,C,C05
L54,10939,A12,C32,B23,PCS,C,C08
L63,16070,A14,C31,B23,PCS,D,C06
L80,12997,A11,C35,B27,PCS,C,C01
L90,17308,A19,C31,B24,PCS,D,C07
L96,16693,A12,C34,B22,PCS,D,C10
L30,11011,A20,C37,B26,PCS,D,C10
L58,17506,A16,C40,B29,PCS,C,C02
L59,14688,A18,C33,B22,PCS,C,C02
L62,19210,A14,C32,B24,PCS,C,C04
L81,16281,A11,C37,B20,PCS,D,C04
L21,10555,A17,C39,B26,PCS,D,C07
L23,18823,A14,C33,B23,PCS,D,C05
L34,17731,A12,C34,B21,PCS,D,C01
L51,15671,A11,C39,B29,PCS,C,C01
L84,10053,A17,C36,B21,PCS,C,C01
L92,18723,A18,C34,B28,PCS,D,C02
L95,19425,A18,C30,B29,PCS,D,C04
L18,12920,A19,C30,B23,PCS,C,C09
L23,17687,A13,C39,B23,PCS,C,C05
L32,17178,A15,C30,B21,PCS,D,C07
L55,18346,A10,C30,B29,PCS,D,C08
L72,18873,A17,C40,B26,PCS,D,C08
L78,10233,A18,C36,B22,PCS,C,C01
L92,16138,A17,C34,B30,PCS,C,C02
L17,16182,A18,C36,B23,PCS,D,C04
L75,12277,A18,C31,B23,PCS,D,C07
L77,17256,A12,C36,B21,PCS,C,C08
L77,14318,A20,C33,B23,PCS,C,C01
L92,13325,A19,C30,B22,PCS,D,C06
L24,17607,A13,C37,B30,PCS,D,C04
L70,12109,A20,C33,B26,PCS,C,C07
L77,12559,A14,C37,B21,PCS,D,C01
L83,19797,A11,C38,B21,PCS,C,C02
L87,11575,A17,C40,B30,PCS,D,C10
L23,12398,A10,C32,B30,PCS,D,C09
L31,12101,A16,C34,B28,PCS,D,C01
L55,11655,A12,C40,B23,PCS,D,C04
L59,12040,A17,C31,B30,PCS,D,C07
L61,13147,A18,C31,B30,PCS,D,C03
L74,17836,A17,C33,B21,PCS,C,C06
L88,18869,A20,C37,B21,PCS,D,C06
L91,11314,A13,C38,B30,PCS,C,C01
L15,17521,A13,C39,B28,PCS,D,C10
L22,14016,A14,C33,B20,PCS,C,C08
L29,16951,A19,C34,B25,PCS,D,C01
L41,11531,A15,C32,B23,PCS,D,C08
L47,12865,A18,C40,B28,PCS,C,C07
L63,14668,A13,C33,B28,PCS,C,C03
L65,13455,A18,C31,B29,PCS,C,C05
L71,12494,A13,C40,B28,PCS,C,C09
L80,11053,A16,C40,B26,PCS,C,C10
L80,14712,A16,C32,B29,PCS,C,C02
L93,14772,A19,C31,B24,PCS,D,C03
L11,17996,A17,C33,B27,PCS,D,C03
L13,17214,A20,C39,B23,PCS,D,C06
L20,18673,A13,C33,B23,PCS,C,C07
L21,14291,A15,C37,B24,PCS,C,C09
L36,15248,A16,C30,B27,PCS,D,C07
L43,13580,A17,C36,B30,PCS,C,C07
L45,11036,A14,C38,B23,PCS,D,C04
L49,11123,A19,C38,B24,PCS,C,C01
L70,18339,A10,C36,B21,PCS,D,C06
L76,10103,A12,C40,B23,PCS,D,C04
L11,14959,A10,C33,B20,PCS,D,C02
L42,19270,A18,C36,B25,PCS,D,C03
L53,16224,A20,C37,B20,PCS,D,C06
L59,15176,A14,C36,B22,PCS,D,C03
L21,15796,A11,C39,B20,PCS,C,C04
L62,18831,A18,C39,B24,PCS,D,C08
L86,18465,A20,C40,B24,PCS,C,C02
L87,11588,A12,C38,B24,PCS,C,C04
L10,13032,A10,C30,B27,PCS,D,C02
L27,19444,A11,C39,B25,PCS,C,C10
L52,17312,A18,C31,B25,PCS,D,C07
L64,17256,A10,C35,B26,PCS,D,C01
L75,13860,A19,C35,B28,PCS,C,C05
L79,15437,A20,C34,B25,PCS,C,C10
L79,10706,A14,C39,B22,PCS,D,C08
L84,17905,A19,C37,B22,PCS,C,C04
L85,17058,A15,C33,B30,PCS,C,C02
L85,10927,A13,C30,B29,PCS,D,C01
L89,18611,A20,C38,B26,PCS,C,C01
L26,17367,A14,C39,B21,PCS,C,C06
L31,12162,A19,C31,B30,PCS,C,C10
L34,18024,A14,C30,B25,PCS,C,C06
L41,16396,A11,C37,B25,PCS,D,C02
L56,18735,A13,C33,B21,PCS,C,C01
L80,12902,A11,C38,B20,PCS,D,C06
L51,16472,A18,C32,B28,PCS,D,C03
L53,19180,A20,C30,B25,PCS,D,C09
L58,12794,A14,C36,B24,PCS,D,C07
L61,15179,A11,C37,B26,PCS,C,C06
L64,10888,A10,C35,B24,PCS,D,C07
L68,16978,A13,C30,B24,PCS,D,C06
L72,14080,A18,C32,B21,PCS,D,C08
L81,11954,A10,C38,B28,PCS,D,C05
L86,18061,A15,C35,B28,PCS,C,C06
L28,10808,A18,C34,B30,PCS,C,C08
L55,16238,A16,C36,B30,PCS,C,C03
L67,15263,A16,C36,B26,PCS,D,C03
L68,16986,A12,C33,B26,PCS,D,C05
L77,17030,A20,C33,B22,PCS,D,C04
L96,13784,A15,C34,B24,PCS,D,C08
L12,15853,A17,C30,B26,PCS,D,C04
L20,10231,A14,C40,B30,PCS,D,C02
L32,12221,A10,C32,B30,PCS,C,C05
L40,15465,A19,C33,B27,PCS,D,C03
L41,17607,A19,C35,B24,PCS,D,C06
L49,10524,A14,C31,B22,PCS,C,C05
L60,10884,A17,C40,B24,PCS,D,C03
L64,15108,A18,C32,B23,PCS,C,C09
L97,14965,A14,C33,B27,PCS,D,C07
L97,18735,A15,C37,B24,PCS,D,C01
L11,10171,A10,C36,B22,PCS,C,C10
L12,11567,A17,C31,B25,PCS,D,C01
L22,18542,A11,C36,B29,PCS,D,C06
L37,11997,A12,C30,B28,PCS,C,C03
L41,14200,A18,C30,B22,PCS,C,C05
L73,12906,A20,C34,B29,PCS,C,C01
L89,14547,A20,C39,B21,PCS,D,C04
L22,16797,A15,C33,B26,PCS,D,C04
L30,12217,A13,C33,B26,PCS,D,C10
L43,16289,A13,C35,B22,PCS,D,C03
L47,13837,A12,C36,B20,PCS,D,C01
L59,12145,A14,C40,B25,PCS,D,C01
L60,16633,A18,C32,B20,PCS,D,C04
L64,15064,A15,C33,B24,PCS,D,C05
L71,14580,A17,C36,B29,PCS,D,C07
L76,15876,A15,C33,B30,PCS,C,C01
L97,17569,A16,C34,B29,PCS,C,C07
L99,19279,A12,C36,B26,PCS,D,C01
L26,12196,A16,C40,B25,PCS,D,C07
L28,19953,A20,C39,B22,PCS,D,C03
L44,15428,A14,C31,B21,PCS,D,C06
L52,13644,A10,C30,B26,PCS,C,C04
L55,17759,A18,C38,B21,PCS,D,C08
L57,17808,A20,C31,B29,PCS,C,C03
L59,12433,A12,C30,B23,PCS,C,C05
L33,10005,A14,C35,B27,PCS,C,C03
L42,19717,A18,C36,B30,PCS,D,C10
L45,18551,A13,C40,B24,PCS,C,C06
L56,19995,A13,C40,B28,PCS,C,C03
L64,10585,A10,C39,B27,PCS,C,C05
L69,16846,A17,C36,B29,PCS,D,C03
L70,11617,A11,C39,B25,PCS,C,C07
L87,10342,A13,C31,B29,PCS,C,C06
L34,15822,A19,C32,B24,PCS,C,C10
L36,14116,A19,C36,B22,PCS,C,C01
L48,12226,A15,C37,B24,PCS,C,C03
