Ledger,Account,PartNo,Contact,Project,Unit Code,D/C,Currency,Quantity(Count),Quantity(Max),Quantity(Min),Quantity(Sum)
L57,19163,A18,C38,B26,PCS,D,C03,2,561,344,905
L15,14811,A20,C31,B21,PCS,C,C08,3,952,440,2263
L30,19047,A17,C37,B20,PCS,D,C02,1,106,106,106
L35,17321,A11,C32,B24,PCS,D,C10,4,901,352,2504
L47,15593,A20,C38,B21,PCS,C,C10,3,591,93,1231
L58,18496,A19,C36,B23,PCS,D,C08,2,527,178,705
L85,13041,A18,C30,B23,PCS,C,C01,1,198,198,198
L85,15123,A10,C36,B29,PCS,D,C07,1,541,541,541
L87,11256,A20,C38,B21,PCS,C,C10,3,909,624,2211
L96,15817,A14,C36,B20,PCS,D,C07,1,609,609,609
L19,19551,A15,C40,B30,PCS,C,C10,1,796,796,796
L20,11681,A12,C34,B30,PCS,C,C10,2,604,133,737
L30,14716,A17,C38,B22,PCS,D,C08,1,109,109,109
L32,14833,A11,C32,B29,PCS,C,C03,2,648,52,700
L36,16782,A16,C32,B20,PCS,C,C01,1,442,442,442
L54,18162,A17,C38,B24,PCS,C,C05,3,895,67,1443
L63,10775,A18,C30,B27,PCS,C,C06,1,133,133,133
L70,11623,A14,C37,B21,PCS,D,C10,1,174,174,174
L74,13208,A18,C40,B20,PCS,D,C02,2,751,185,936
L11,10978,A17,C39,B22,PCS,C,C09,1,543,543,543
L22,19226,A18,C40,B27,PCS,D,C03,2,656,616,1272
L30,13338,A17,C38,B27,PCS,C,C04,2,508,220,728
L45,12049,A10,C37,B29,PCS,C,C03,1,169,169,169
L45,18074,A15,C37,B20,PCS,D,C03,1,733,733,733
L80,12326,A10,C37,B20,PCS,D,C04,2,122,117,239
L86,15284,A17,C40,B22,PCS,D,C03,1,888,888,888
L13,17831,A19,C33,B23,PCS,C,C05,1,855,855,855
L95,12366,A10,C33,B30,PCS,C,C10,2,798,85,883
L20,10656,A13,C34,B21,PCS,C,C08,1,184,184,184
L36,12533,A18,C38,B24,PCS,C,C07,1,367,367,367
L38,14128,A20,C32,B24,PCS,C,C03,3,563,53,1090
L43,12588,A10,C40,B22,PCS,C,C08,1,266,266,266
L50,10764,A16,C34,B30,PCS,D,C05,1,151,151,151
L52,12991,A19,C37,B28,PCS,D,C10,1,508,508,508
L63,12044,A15,C38,B27,PCS,C,C05,1,478,478,478
L73,11659,A17,C30,B24,PCS,C,C04,1,754,754,754
L99,12051,A12,C35,B28,PCS,C,C10,1,279,279,279
L59,10070,A11,C35,B27,PCS,C,C09,1,807,807,807
L63,11454,A10,C30,B23,PCS,C,C06,2,954,914,1868
L65,15463,A19,C38,B21,PCS,D,C08,1,973,973,973
L66,18796,A19,C37,B23,PCS,D,C08,2,809,800,1609
L66,14604,A11,C31,B22,PCS,D,C05,1,195,195,195
L66,14306,A19,C35,B26,PCS,C,C01,3,888,189,1477
L75,17807,A17,C40,B30,PCS,C,C08,1,831,831,831
L76,18338,A12,C35,B23,PCS,D,C02,1,935,935,935
L79,14127,A12,C40,B20,PCS,C,C05,1,430,430,430
L82,10081,A13,C39,B25,PCS,D,C07,1,669,669,669
L99,10076,A12,C31,B30,PCS,C,C04,2,352,281,633
L34,13389,A15,C35,B30,PCS,D,C08,1,790,790,790
L44,10486,A19,C32,B20,PCS,C,C06,4,779,126,2210
L51,14239,A10,C36,B20,PCS,C,C09,2,365,339,704
L82,11979,A11,C36,B25,PCS,D,C09,1,8,8,8
L85,12880,A14,C39,B28,PCS,D,C06,2,476,52,528
L87,14651,A15,C33,B29,PCS,D,C04,1,753,753,753
L12,11194,A11,C32,B21,PCS,C,C06,1,816,816,816
L94,19191,A16,C31,B22,PCS,C,C04,1,653,653,653
L19,18069,A18,C36,B27,PCS,C,C03,2,433,111,544
L22,14443,A19,C37,B26,PCS,D,C05,1,342,342,342
L23,16209,A11,C36,B29,PCS,D,C09,1,208,208,208
L33,13913,A12,C40,B23,PCS,D,C01,2,908,16,924
L38,18481,A16,C30,B22,PCS,C,C02,1,792,792,792
L74,18982,A16,C33,B26,PCS,D,C06,3,771,519,1934
L14,14497,A18,C37,B23,PCS,D,C08,1,7,7,7
L92,15432,A11,C30,B24,PCS,C,C02,1,693,693,693
L97,11460,A17,C36,B24,PCS,D,C03,2,865,637,1502
L98,14601,A12,C30,B30,PCS,C,C09,1,170,170,170
L23,19572,A15,C36,B27,PCS,C,C06,1,73,73,73
L34,11180,A20,C39,B29,PCS,C,C04,2,795,582,1377
L38,17953,A11,C35,B30,PCS,C,C10,1,149,149,149
L41,17587,A13,C31,B30,PCS,C,C06,1,588,588,588
L43,19951,A17,C32,B25,PCS,D,C10,1,268,268,268
L49,14062,A15,C35,B30,PCS,D,C08,1,963,963,963
L75,11343,A18,C31,B29,PCS,C,C02,2,952,11,963
L82,13264,A11,C36,B22,PCS,D,C09,1,477,477,477
L94,12008,A17,C33,B25,PCS,D,C04,1,653,653,653
L28,16363,A10,C33,B24,PCS,D,C01,2,591,346,937
L30,14825,A20,C31,B24,PCS,C,C04,2,943,555,1498
L35,17536,A17,C40,B25,PCS,D,C01,1,802,802,802
L51,11847,A17,C40,B21,PCS,C,C09,1,78,78,78
L53,16842,A17,C39,B26,PCS,D,C06,2,824,561,1385
L73,18592,A13,C38,B20,PCS,D,C09,1,372,372,372
L74,15954,A15,C38,B23,PCS,D,C04,3,279,131,548
L97,11936,A11,C36,B26,PCS,D,C01,1,248,248,248
L31,17489,A11,C38,B20,PCS,D,C01,2,795,507,1302
L36,16782,A18,C37,B28,PCS,D,C05,1,204,204,204
L52,18529,A15,C36,B23,PCS,D,C01,1,184,184,184
L88,19772,A13,C32,B28,PCS,D,C04,1,164,164,164
L16,15484,A11,C34,B28,PCS,D,C10,1,416,416,416
L21,13064,A14,C37,B25,PCS,D,C08,2,536,446,982
L55,15183,A19,C34,B22,PCS,D,C08,1,611,611,611
L59,15602,A18,C34,B23,PCS,D,C08,1,140,140,140
L68,16487,A20,C34,B26,PCS,C,C01,2,884,260,1144
L89,15373,A12,C32,B22,PCS,C,C04,1,976,976,976
L91,16393,A13,C35,B23,PCS,C,C05,1,30,30,30
L95,16760,A17,C39,B30,PCS,D,C01,2,685,358,1043
L99,19412,A15,C40,B23,PCS,D,C06,2,784,776,1560
L26,11755,A10,C32,B27,PCS,C,C03,1,116,116,116
L26,17350,A18,C30,B20,PCS,C,C02,1,187,187,187
L29,18624,A15,C30,B30,PCS,C,C05,1,859,859,859
L37,17601,A11,C36,B27,PCS,D,C01,1,22,22,22
L47,12666,A19,C30,B29,PCS,C,C04,1,850,850,850
L74,16394,A13,C36,B30,PCS,D,C03,1,141,141,141
L84,17535,A20,C37,B29,PCS,C,C07,3,817,92,1163
L89,18340,A12,C40,B20,PCS,D,C07,3,627,93,1054
L19,19144,A19,C33,B22,PCS,D,C10,1,289,289,289
L20,12068,A10,C34,B30,PCS,C,C06,1,41,41,41
L60,18141,A16,C40,B25,PCS,C,C02,2,674,600,1274
L62,13018,A11,C39,B20,PCS,D,C08,1,270,270,270
L65,11385,A20,C39,B30,PCS,C,C01,2,617,49,666
L70,12715,A15,C36,B24,PCS,D,C02,1,511,511,511
L78,19002,A10,C30,B30,PCS,C,C10,2,767,468,1235
L84,19554,A12,C31,B22,PCS,D,C05,1,691,691,691
L92,16772,A19,C30,B27,PCS,C,C08,1,490,490,490
L12,18001,A16,C36,B22,PCS,C,C04,1,561,561,561
L96,10945,A19,C34,B22,PCS,C,C04,1,103,103,103
L97,10659,A20,C30,B20,PCS,D,C10,1,543,543,543
L17,15756,A16,C40,B20,PCS,D,C01,1,765,765,765
L38,19127,A16,C35,B25,PCS,C,C05,2,852,66,918
L48,10442,A11,C33,B23,PCS,C,C01,2,778,269,1047
L49,18719,A20,C37,B29,PCS,C,C04,2,570,567,1137
L60,14820,A15,C35,B29,PCS,C,C05,1,712,712,712
L72,13407,A13,C39,B21,PCS,D,C01,1,394,394,394
L80,13517,A10,C36,B23,PCS,D,C10,1,420,420,420
L90,15076,A11,C33,B26,PCS,C,C02,4,948,194,2631
L26,18592,A11,C31,B20,PCS,C,C08,2,673,412,1085
L54,14380,A11,C37,B21,PCS,D,C10,1,419,419,419
L68,12970,A12,C35,B20,PCS,C,C03,1,806,806,806
L82,18500,A14,C30,B28,PCS,D,C07,1,553,553,553
L88,10370,A12,C39,B25,PCS,D,C01,1,193,193,193
L99,17237,A19,C32,B23,PCS,D,C04,2,696,121,817
L29,13584,A11,C40,B21,PCS,D,C08,1,277,277,277
L41,11735,A17,C34,B25,PCS,C,C06,4,783,79,2073
L46,12775,A19,C36,B20,PCS,D,C09,3,961,14,1367
L57,19320,A13,C38,B21,PCS,C,C08,2,558,57,615
L59,16938,A10,C40,B30,PCS,C,C04,1,197,197,197
L75,17800,A14,C40,B24,PCS,C,C08,1,747,747,747
L83,16416,A12,C30,B26,PCS,C,C03,1,75,75,75
L98,19107,A20,C34,B24,PCS,C,C09,1,273,273,273
L40,17669,A11,C35,B28,PCS,C,C09,3,335,55,533
L61,11220,A15,C33,B23,PCS,D,C01,1,190,190,190
L70,11893,A12,C34,B21,PCS,D,C10,3,794,27,1255
L82,16276,A15,C36,B20,PCS,D,C05,1,721,721,721
L16,11087,A13,C37,B27,PCS,D,C05,3,758,28,975
L17,14924,A20,C35,B23,PCS,C,C03,1,60,60,60
L26,16890,A10,C36,B28,PCS,D,C01,1,888,888,888
L40,18433,A14,C37,B23,PCS,C,C01,1,565,565,565
L81,18237,A14,C34,B23,PCS,C,C10,2,535,230,765
L14,18987,A10,C35,B27,PCS,C,C04,3,869,28,1205
L14,17816,A19,C31,B20,PCS,C,C07,2,916,828,1744
L20,17748,A20,C30,B30,PCS,C,C09,1,861,861,861
L22,14009,A19,C30,B26,PCS,C,C04,2,151,58,209
L26,19941,A15,C32,B30,PCS,C,C08,1,527,527,527
L53,10186,A18,C38,B24,PCS,C,C04,1,433,433,433
L56,13732,A14,C31,B23,PCS,D,C02,1,125,125,125
L58,18192,A20,C40,B27,PCS,C,C03,1,697,697,697
L65,19814,A19,C37,B24,PCS,C,C04,1,215,215,215
L74,13488,A15,C36,B29,PCS,D,C06,1,481,481,481
L74,18894,A14,C37,B30,PCS,C,C03,1,484,484,484
L81,18141,A15,C40,B24,PCS,C,C05,2,880,112,992
L11,19605,A16,C37,B28,PCS,C,C02,1,947,947,947
L14,18585,A10,C30,B23,PCS,C,C08,2,584,329,913
L41,11831,A11,C40,B29,PCS,D,C08,1,894,894,894
L46,15900,A11,C30,B26,PCS,C,C06,2,785,311,1096
L51,10204,A11,C33,B30,PCS,D,C09,1,245,245,245
L73,12076,A14,C38,B28,PCS,D,C01,1,818,818,818
L75,12933,A16,C33,B26,PCS,D,C04,3,414,147,799
L87,18660,A17,C33,B29,PCS,C,C07,1,655,655,655
L13,15677,A14,C31,B24,PCS,C,C10,1,594,594,594
L21,15077,A19,C33,B21,PCS,D,C01,1,889,889,889
L25,16544,A11,C39,B20,PCS,D,C07,1,420,420,420
L44,11803,A17,C38,B30,PCS,C,C10,1,676,676,676
L61,19596,A12,C33,B26,PCS,D,C05,1,384,384,384
L75,11266,A17,C39,B29,PCS,C,C07,2,774,530,1304
L75,17075,A18,C31,B26,PCS,C,C04,1,71,71,71
L78,12560,A11,C32,B25,PCS,D,C07,1,208,208,208
L80,10529,A16,C30,B23,PCS,C,C05,2,864,308,1172
L81,12344,A17,C35,B21,PCS,D,C04,1,900,900,900
L81,19402,A14,C30,B21,PCS,D,C09,2,940,560,1500
L83,13538,A12,C31,B28,PCS,D,C10,4,642,210,1711
L90,18228,A16,C32,B20,PCS,C,C03,1,633,633,633
L21,14526,A20,C38,B26,PCS,C,C01,2,404,46,450
L23,10242,A18,C31,B21,PCS,C,C01,2,813,146,959
L30,14565,A13,C40,B22,PCS,D,C07,2,788,463,1251
L57,16296,A13,C37,B30,PCS,C,C03,1,376,376,376
L62,10045,A15,C37,B22,PCS,D,C05,1,510,510,510
L71,13885,A18,C30,B27,PCS,C,C05,2,877,72,949
L73,12261,A10,C35,B25,PCS,C,C01,1,915,915,915
L12,14827,A12,C37,B27,PCS,D,C10,1,456,456,456
L20,17495,A17,C36,B20,PCS,C,C09,1,754,754,754
L25,19926,A16,C36,B26,PCS,D,C09,1,220,220,220
L35,12611,A20,C37,B24,PCS,D,C04,1,118,118,118
L59,14239,A18,C32,B20,PCS,D,C01,1,623,623,623
L61,10676,A16,C38,B26,PCS,C,C06,1,473,473,473
L69,19744,A10,C30,B26,PCS,C,C05,2,958,946,1904
L74,14840,A11,C34,B28,PCS,D,C07,1,134,134,134
L82,16300,A10,C36,B21,PCS,C,C02,1,511,511,511
L10,18219,A12,C34,B21,PCS,C,C05,1,240,240,240
L94,11008,A13,C40,B30,PCS,D,C06,2,515,312,827
L22,13645,A17,C31,B28,PCS,D,C06,1,967,967,967
L37,16527,A16,C38,B26,PCS,C,C07,2,568,417,985
L43,15455,A11,C37,B27,PCS,D,C02,2,688,401,1089
L60,19494,A15,C31,B28,PCS,C,C08,1,950,950,950
L77,17971,A18,C34,B25,PCS,D,C04,1,924,924,924
L98,19485,A14,C33,B30,PCS,C,C05,2,998,926,1924
L22,15154,A16,C33,B27,PCS,C,C04,1,6,6,6
L50,13626,A17,C30,B28,PCS,D,C09,2,484,161,645
L56,13958,A18,C32,B22,PCS,D,C02,1,121,121,121
L60,11762,A15,C39,B30,PCS,D,C07,3,845,197,1573
L60,15578,A17,C35,B25,PCS,D,C03,1,171,171,171
L74,12671,A15,C38,B28,PCS,C,C03,1,735,735,735
L74,19272,A14,C40,B26,PCS,C,C04,1,874,874,874
L80,19575,A20,C34,B28,PCS,C,C04,1,971,971,971
L82,12239,A19,C34,B27,PCS,C,C01,1,958,958,958
L94,13181,A19,C39,B29,PCS,C,C04,1,661,661,661
L94,14260,A17,C40,B24,PCS,D,C10,2,716,602,1318
L26,10293,A10,C38,B25,PCS,D,C03,1,126,126,126
L27,12205,A18,C34,B23,PCS,C,C09,1,395,395,395
L27,19124,A18,C33,B27,PCS,C,C09,1,373,373,373
L28,17295,A12,C30,B30,PCS,D,C06,1,619,619,619
L51,18812,A13,C36,B24,PCS,C,C04,3,934,100,1936
L43,10079,A14,C34,B25,PCS,C,C02,3,467,162,1021
L45,10057,A12,C36,B20,PCS,C,C01,2,950,311,1261
L54,17911,A14,C36,B28,PCS,D,C10,1,127,127,127
L61,18158,A18,C39,B24,PCS,D,C08,2,382,382,764
L70,12869,A13,C39,B29,PCS,D,C09,1,874,874,874
L80,19092,A20,C38,B30,PCS,D,C10,2,301,148,449
L82,11951,A19,C39,B27,PCS,D,C10,1,711,711,711
L88,19408,A20,C36,B28,PCS,D,C07,1,144,144,144
L95,13376,A16,C31,B21,PCS,D,C01,1,437,437,437
L20,13821,A17,C35,B23,PCS,C,C01,2,738,452,1190
L99,18605,A16,C37,B26,PCS,D,C03,2,621,94,715
L30,10900,A13,C39,B23,PCS,D,C01,1,402,402,402
L84,10476,A13,C40,B23,PCS,C,C09,2,840,680,1520
L84,19768,A16,C30,B22,PCS,C,C06,1,600,600,600
L26,16371,A20,C32,B23,PCS,C,C01,1,292,292,292
L30,15756,A10,C39,B24,PCS,D,C04,1,198,198,198
L35,12856,A15,C30,B30,PCS,C,C08,1,882,882,882
L32,10681,A10,C31,B29,PCS,C,C05,2,907,293,1200
L39,14654,A16,C36,B27,PCS,C,C06,1,527,527,527
L70,18393,A13,C37,B24,PCS,D,C01,1,525,525,525
L78,16731,A14,C30,B27,PCS,D,C09,1,462,462,462
L79,16818,A10,C40,B24,PCS,D,C03,2,840,293,1133
L83,18268,A13,C35,B25,PCS,C,C03,1,219,219,219
L84,11804,A13,C35,B27,PCS,C,C03,1,793,793,793
L13,14592,A10,C33,B28,PCS,C,C09,3,945,596,2231
L29,18449,A14,C32,B25,PCS,D,C09,1,579,579,579
L32,10821,A18,C38,B20,PCS,C,C09,1,98,98,98
L44,11805,A11,C30,B30,PCS,C,C06,1,789,789,789
L52,10790,A13,C40,B23,PCS,D,C06,1,233,233,233
L52,15885,A11,C36,B22,PCS,C,C05,1,807,807,807
L59,18135,A17,C30,B29,PCS,D,C01,2,372,12,384
L65,12539,A16,C39,B27,PCS,C,C10,1,62,62,62
L65,17666,A17,C31,B23,PCS,D,C07,1,897,897,897
L73,12712,A14,C38,B28,PCS,D,C04,4,818,339,1869
L75,12843,A18,C33,B29,PCS,C,C07,2,833,61,894
L81,10501,A11,C40,B24,PCS,D,C01,1,478,478,478
L11,16970,A19,C39,B28,PCS,D,C03,1,392,392,392
L15,14422,A13,C34,B22,PCS,D,C04,2,396,343,739
L42,10967,A19,C39,B28,PCS,C,C05,1,35,35,35
L65,18031,A13,C36,B28,PCS,D,C01,1,487,487,487
L74,15510,A14,C34,B23,PCS,C,C07,3,742,507,1773
L79,13359,A20,C33,B25,PCS,C,C02,2,689,593,1282
L17,17726,A20,C33,B28,PCS,C,C07,1,103,103,103
L34,15754,A17,C30,B20,PCS,C,C09,4,756,104,1425
L51,15122,A14,C33,B23,PCS,D,C03,2,781,743,1524
L52,14798,A11,C31,B25,PCS,D,C06,1,617,617,617
L59,18215,A18,C36,B25,PCS,C,C05,1,21,21,21
L63,11636,A12,C30,B23,PCS,D,C05,1,465,465,465
L71,17786,A18,C38,B28,PCS,D,C10,2,805,596,1401
L12,16221,A14,C30,B20,PCS,C,C08,2,827,79,906
L13,16522,A13,C30,B22,PCS,D,C08,4,882,132,1931
L42,13476,A13,C38,B26,PCS,D,C05,1,484,484,484
L50,16370,A13,C35,B21,PCS,D,C07,4,674,374,2232
L52,14590,A16,C38,B29,PCS,C,C04,1,85,85,85
L54,10646,A13,C38,B22,PCS,C,C02,1,544,544,544
L68,16854,A14,C31,B21,PCS,D,C07,1,677,677,677
L79,17963,A16,C32,B23,PCS,D,C03,1,918,918,918
L97,12304,A18,C37,B30,PCS,C,C03,1,235,235,235
L24,13672,A20,C37,B30,PCS,D,C04,1,111,111,111
L46,11341,A18,C30,B23,PCS,D,C08,1,468,468,468
L46,16745,A13,C39,B28,PCS,C,C07,1,496,496,496
L21,10060,A16,C32,B28,PCS,D,C08,2,573,391,964
L31,10183,A12,C33,B26,PCS,C,C01,3,694,48,1406
L70,17270,A14,C34,B22,PCS,D,C01,2,652,613,1265
L72,10326,A13,C38,B27,PCS,C,C08,1,400,400,400
L44,12733,A11,C31,B27,PCS,D,C01,2,804,300,1104
L90,17105,A18,C34,B28,PCS,D,C02,2,742,509,1251
L18,10940,A10,C33,B28,PCS,C,C10,1,530,530,530
L28,13066,A16,C34,B26,PCS,C,C10,1,617,617,617
L30,14363,A17,C34,B25,PCS,D,C02,1,852,852,852
L53,19644,A16,C33,B26,PCS,C,C10,1,302,302,302
L81,19544,A19,C39,B27,PCS,C,C03,1,103,103,103
L27,18448,A18,C34,B21,PCS,D,C08,4,688,105,1809
L34,10561,A14,C35,B30,PCS,D,C02,1,263,263,263
L42,10937,A15,C30,B29,PCS,C,C01,2,738,314,1052
L66,17834,A12,C36,B30,PCS,D,C07,2,831,604,1435
L67,10447,A13,C33,B22,PCS,D,C01,1,619,619,619
L92,17840,A18,C33,B30,PCS,C,C09,1,39,39,39
L16,11048,A15,C38,B30,PCS,D,C02,1,722,722,722
L19,11911,A19,C37,B24,PCS,C,C05,1,888,888,888
L27,11657,A13,C31,B22,PCS,D,C06,2,718,347,1065
L27,14579,A14,C40,B26,PCS,C,C07,1,419,419,419
L31,10543,A18,C39,B25,PCS,C,C06,2,793,331,1124
L33,14405,A18,C36,B29,PCS,D,C03,1,121,121,121
L48,15415,A10,C40,B27,PCS,D,C04,1,348,348,348
L53,13067,A10,C32,B26,PCS,D,C07,3,926,72,1543
L68,18309,A12,C30,B22,PCS,C,C03,2,233,162,395
L75,12628,A10,C40,B28,PCS,D,C03,2,672,586,1258
L77,10941,A17,C38,B26,PCS,D,C09,1,663,663,663
L96,18763,A18,C33,B26,PCS,D,C06,2,950,908,1858
L27,18370,A17,C33,B27,PCS,C,C09,1,883,883,883
L51,19170,A20,C34,B20,PCS,D,C10,1,185,185,185
L59,11488,A11,C32,B25,PCS,C,C07,1,344,344,344
L66,18515,A17,C35,B27,PCS,C,C03,1,356,356,356
L67,15653,A19,C34,B22,PCS,D,C09,2,396,176,572
L11,14287,A20,C38,B25,PCS,D,C03,2,667,518,1185
L98,19051,A11,C31,B28,PCS,D,C06,1,751,751,751
L46,11095,A11,C38,B22,PCS,C,C03,2,612,481,1093
L60,15100,A14,C37,B20,PCS,C,C04,1,375,375,375
L62,10005,A10,C36,B26,PCS,D,C04,1,364,364,364
L91,11694,A15,C34,B27,PCS,C,C02,3,961,29,1521
L11,10124,A14,C33,B20,PCS,D,C01,1,47,47,47
L95,18414,A10,C38,B23,PCS,D,C07,3,221,43,426
L26,11058,A11,C39,B26,PCS,D,C04,1,60,60,60
L27,16967,A19,C39,B20,PCS,C,C04,2,688,634,1322
L65,13250,A16,C34,B30,PCS,C,C06,2,993,831,1824
L82,18006,A17,C40,B29,PCS,C,C07,2,599,366,965
L95,16163,A11,C35,B20,PCS,C,C01,1,935,935,935
